SystemID,Send Date,Content Name,Testing,Source,Card ID,Tier,Status,EDM_Sent,EDM_Bounce,EDM_Open,EDM_Click,APP_Open
JH-0001831149,2021-11-18T15:50:55.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,CT0220026,DYNA,Sent,1,0,0,0,0
JH-0001831150,2021-11-18T15:50:55.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,AN0108303,EMER,Open,1,0,1,0,0
JH-0001831151,2021-11-18T15:50:55.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WE9338804,DYNA,Sent,1,0,0,0,0
JH-0001831152,2021-11-18T15:50:55.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,CT1968030,GOLD,Sent,1,0,0,0,0
JH-0001831153,2021-11-18T15:50:55.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WE4366168,DYNA,Open,1,0,1,0,0
JH-0001831154,2021-11-18T15:50:55.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WD0680400,EMER,Open,1,0,1,0,0
JH-0001831155,2021-11-18T15:50:55.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WF3944417,DYNA,Click,1,0,1,1,0
JH-0001831156,2021-11-18T15:50:55.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,CT0772784,EMER,Open,1,0,1,0,0
JH-0001831157,2021-11-18T15:50:55.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,AL0711630,EMER,Click,1,0,1,1,0
JH-0001831158,2021-11-18T15:50:55.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WA4608516,PARA,Sent,1,0,0,0,0
JH-0001831159,2021-11-18T15:50:55.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,CT0072641,DYNA,Sent,1,0,0,0,0
JH-0001831160,2021-11-18T15:50:55.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WB3144341,GOLD,Sent,1,0,0,0,0
JH-0001831161,2021-11-18T15:50:55.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,CT2912567,EMER,Sent,1,0,0,0,0
JH-0001831162,2021-11-18T15:50:55.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WB5413983,DYNA,Open,1,0,1,0,0
JH-0001831163,2021-11-18T15:50:55.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,CT0072595,DYNA,Open,1,0,1,0,0
JH-0001831164,2021-11-18T15:50:55.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WB7941082,DYNA,Sent,1,0,0,0,0
JH-0001831165,2021-11-18T15:50:55.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WF3935204,DYNA,Sent,1,0,0,0,0
JH-0001831166,2021-11-18T15:50:55.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WF3919768,DYNA,Click,1,0,1,1,0
JH-0001831167,2021-11-18T15:50:55.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WF3937882,DYNA,Sent,1,0,0,0,0
JH-0001831168,2021-11-18T15:50:55.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WA6011234,DYNA,Sent,1,0,0,0,0
JH-0001831169,2021-11-18T15:50:55.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WB4678931,DYNA,Sent,1,0,0,0,0
JH-0001830979,2021-11-18T03:25:21.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,CT1899764,GOLD,Click,1,0,1,1,0
JH-0001830980,2021-11-18T03:25:21.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,CK1856755,PARA,Open,1,0,1,0,0
JH-0001830954,2021-11-18T00:47:24.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WE7097163,GOLD,Sent,1,0,0,0,0
JH-0001830955,2021-11-18T00:47:24.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WB6780284,GOLD,Sent,1,0,0,0,0
JH-0001830956,2021-11-18T00:47:24.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WD4745643,DYNA,Sent,1,0,0,0,0
JH-0001830957,2021-11-18T00:47:24.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WE3148468,DYNA,Sent,1,0,0,0,0
JH-0001830958,2021-11-18T00:47:24.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WD7932126,DYNA,Sent,1,0,0,0,0
JH-0001830959,2021-11-18T00:47:24.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,CT3397735,EMER,Open,1,0,1,0,0
JH-0001830960,2021-11-18T00:47:24.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WA7057530,DYNA,Sent,1,0,0,0,0
JH-0001830961,2021-11-18T00:47:24.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WB3326084,DYNA,Open,1,0,1,0,0
JH-0001830962,2021-11-18T00:47:24.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WF3944700,DYNA,Open,1,0,1,0,0
JH-0001830963,2021-11-18T00:47:24.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WF3944698,DYNA,Open,1,0,1,0,0
JH-0001830964,2021-11-18T00:47:24.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WB4880452,DYNA,Sent,1,0,0,0,0
JH-0001830981,2021-11-18T04:30:07.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WE5376240,DYNA,Delivered,0,0,0,0,0
JH-0001598352,2021-10-14T08:15:59.000Z,ANC Chargeable Seat APP Push B(ZH),B,APP,WF3793386,DYNA,,0,0,0,0,0
JH-0001829366,2021-11-02T13:10:42.000Z,ANC Chargeable Seat SMS A(ZH),A,SMS,WD5516695,DYNA,Delivered,0,0,0,0,0
JH-0001830987,2021-11-18T04:36:42.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,CT5547273,EMER,Open,1,0,1,0,0
JH-0001831004,2021-11-18T06:41:20.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WB5687741,GOLD,Click,1,0,1,1,0
JH-0001831005,2021-11-18T06:41:20.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WB0917054,GOLD,Sent,1,0,0,0,0
JH-0001831006,2021-11-18T06:41:20.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,SH0175724,DYNA,Open,1,0,1,0,0
JH-0001831007,2021-11-18T06:41:20.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WD0993150,GOLD,Sent,1,0,0,0,0
